row_id,delay_risk_pct,risk_category
252,0,LOW
253,0,LOW
254,0,LOW
255,0,LOW
256,0,LOW
257,0,LOW
258,0,LOW
259,0,LOW
260,0,LOW
261,0,LOW
262,0,LOW
263,0,LOW
264,0,LOW
265,0,LOW
266,0,LOW
267,0,LOW
268,0,LOW
269,0,LOW
270,0,LOW
271,0,LOW
272,0,LOW
273,0,LOW
274,0,LOW
275,0,LOW
276,0,LOW
277,0,LOW
278,0,LOW
279,0,LOW
280,0,LOW
281,0,LOW
282,0,LOW
283,0,LOW
284,0,LOW
285,0,LOW
286,0,LOW
287,0,LOW
288,0,LOW
289,0,LOW
290,0,LOW
291,0,LOW
292,0,LOW
293,0,LOW
294,0,LOW
295,0,LOW
296,0,LOW
297,0,LOW
298,0,LOW
299,0,LOW
300,0,LOW
301,0,LOW
302,0,LOW
303,0,LOW
304,0,LOW
305,0,LOW
306,0,LOW
307,0,LOW
308,0,LOW
309,0,LOW
310,0,LOW
311,0,LOW
312,0,LOW
313,0,LOW
314,0,LOW
315,0,LOW
316,0,LOW
317,0,LOW
318,0,LOW
319,0,LOW
320,0,LOW
321,0,LOW
322,0,LOW
323,0,LOW
324,0,LOW
325,0,LOW
326,0,LOW
327,0,LOW
328,0,LOW
329,0,LOW
330,0,LOW
331,0,LOW
332,0,LOW
333,0,LOW
334,0,LOW
335,0,LOW
336,0,LOW
337,0,LOW
338,0,LOW
339,0,LOW
340,0,LOW
341,0,LOW
342,0,LOW
343,0,LOW
344,0,LOW
345,0,LOW
346,0,LOW
347,0,LOW
348,0,LOW
349,0,LOW
350,0,LOW
351,0,LOW
352,0,LOW
353,0,LOW
354,0,LOW
355,0,LOW
356,0,LOW
357,0,LOW
358,0,LOW
359,0,LOW
360,0,LOW
361,0,LOW
362,0,LOW
363,0,LOW
364,0,LOW
365,0,LOW
366,0,LOW
367,0,LOW
368,0,LOW
369,0,LOW
370,0,LOW
371,0,LOW
372,0,LOW
373,0,LOW
374,0,LOW
375,0,LOW
376,0,LOW
377,0,LOW
378,0,LOW
379,0,LOW
380,0,LOW
381,0,LOW
382,0,LOW
383,0,LOW
384,0,LOW
385,0,LOW
386,0,LOW
387,0,LOW
388,0,LOW
389,0,LOW
390,0,LOW
391,0,LOW
392,0,LOW
393,0,LOW
394,0,LOW
395,0,LOW
396,0,LOW
397,0,LOW
398,0,LOW
399,0,LOW
400,0,LOW
401,0,LOW
402,0,LOW
403,0,LOW
404,0,LOW
405,0,LOW
406,0,LOW
407,0,LOW
408,0,LOW
409,0,LOW
410,0,LOW
411,0,LOW
412,0,LOW
413,0,LOW
414,0,LOW
415,0,LOW
416,0,LOW
417,0,LOW
418,0,LOW
419,0,LOW
420,0,LOW
421,0,LOW
422,0,LOW
423,0,LOW
424,0,LOW
425,0,LOW
426,0,LOW
427,0,LOW
428,0,LOW
429,0,LOW
430,0,LOW
431,0,LOW
432,0,LOW
433,0,LOW
434,0,LOW
435,0,LOW
436,0,LOW
437,0,LOW
438,0,LOW
439,0,LOW
440,0,LOW
441,0,LOW
442,0,LOW
443,0,LOW
444,0,LOW
445,0,LOW
446,0,LOW
447,0,LOW
448,0,LOW
449,0,LOW
450,0,LOW
451,0,LOW
452,0,LOW
453,0,LOW
454,0,LOW
455,0,LOW
456,0,LOW
457,0,LOW
458,0,LOW
459,0,LOW
460,0,LOW
461,0,LOW
462,0,LOW
463,0,LOW
464,0,LOW
465,0,LOW
466,0,LOW
467,0,LOW
468,0,LOW
469,0,LOW
470,0,LOW
471,0,LOW
472,0,LOW
473,0,LOW
474,0,LOW
475,0,LOW
476,0,LOW
477,0,LOW
478,0,LOW
479,0,LOW
480,0,LOW
481,0,LOW
482,0,LOW
483,0,LOW
484,0,LOW
485,0,LOW
486,0,LOW
487,0,LOW
488,0,LOW
489,0,LOW
490,0,LOW
491,0,LOW
492,0,LOW
493,0,LOW
494,0,LOW
495,0,LOW
496,0,LOW
497,0,LOW
498,0,LOW
499,0,LOW
500,0,LOW
